week_start,D_tomaten,D_salat,D_gurken,D_paprika
2022-04-18,48.80402930402936,49.80402930402933,50.80402930402936,36.80402930402933
2022-04-25,49.39010989010995,50.39010989010991,51.39010989010996,37.39010989010991
2022-05-02,56.36493029854487,38.86493029854482,51.3649302985448,31.36493029854479
2022-05-09,57.94002187363644,40.4400218736364,52.940021873636375,32.94002187363637
2022-05-16,59.58837352198809,42.088373521988046,54.58837352198802,34.58837352198801
2022-05-23,60.467494401108965,42.96749440110892,55.467494401108894,35.46749440110889
2022-05-30,58.196432130046695,40.69643213004666,53.19643213004663,33.196432130046624
2022-06-06,41.432234432234495,64.43223443223447,45.432234432234466,28.432234432234477
2022-06-13,43.84981684981691,66.84981684981688,47.84981684981688,30.84981684981689
2022-06-20,44.326007326007385,67.32600732600737,48.32600732600736,31.32600732600737
2022-06-27,46.4505494505495,69.45054945054949,50.45054945054949,33.450549450549495
2022-07-04,53.97115740477197,55.471157404771965,55.47115740477192,35.97115740477196
2022-07-11,50.60119403480861,52.10119403480859,52.10119403480855,32.601194034808586
2022-07-18,52.43269586631043,53.93269586631042,53.932695866310375,34.432695866310425
2022-07-25,55.36309879671337,56.86309879671336,56.86309879671332,37.36309879671336
2022-08-01,58.30219780219789,57.30219780219784,60.302197802197846,46.80219780219785
2022-08-08,59.76739926739935,58.76739926739931,61.76739926739931,48.26739926739931
2022-08-15,60.17032967032975,59.170329670329714,62.170329670329714,48.670329670329714
2022-08-22,59.694139194139275,58.69413919413924,61.69413919413924,48.19413919413924
2022-08-29,58.448717948718034,57.448717948718,60.448717948718,46.948717948718
2022-09-05,53.1886446886447,65.18864468864464,29.688644688644704,50.1886446886447
2022-09-12,52.85897435897438,64.85897435897432,29.358974358974375,49.85897435897437
2022-09-19,50.73443223443225,62.73443223443219,27.234432234432248,47.73443223443225
2022-09-26,49.70879120879122,61.70879120879117,26.208791208791226,46.70879120879122
2022-10-03,51.54945054945055,61.54945054945058,51.54945054945055,46.04945054945057
2022-10-10,52.57509157509157,62.575091575091605,52.57509157509157,47.07509157509159
2022-10-17,52.941391941391934,62.94139194139197,52.941391941391934,47.441391941391956
2022-10-24,52.86813186813186,62.8681318681319,52.86813186813186,47.36813186813188
2022-10-31,53.82051282051281,63.820512820512846,53.82051282051281,48.32051282051284
2022-11-07,61.66071072709626,63.16071072709618,37.66071072709628,52.660710727096195
2022-11-14,61.73397080035633,63.23397080035625,37.73397080035635,52.73397080035627
2022-11-21,54.554483620869156,56.05448362086908,30.554483620869178,45.55448362086909
2022-11-28,55.65338471977025,57.15338471977017,31.653384719770273,46.65338471977019
2022-12-05,48.41758241758238,67.91758241758242,32.417582417582416,45.91758241758234
2022-12-12,47.17216117216114,66.67216117216117,31.17216117216117,44.67216117216109
2022-12-19,46.21978021978018,65.71978021978022,30.21978021978022,43.719780219780134
2022-12-26,52.15384615384612,71.65384615384616,36.15384615384615,49.65384615384607
2023-01-02,68.01419058057608,67.51419058057604,65.51419058057607,60.51419058057609
2023-01-09,65.08378765017315,64.58378765017311,62.583787650173136,57.58378765017316
2023-01-16,65.45008801647352,64.95008801647347,62.9500880164735,57.95008801647352
2023-01-23,59.882322448707946,59.3823224487079,57.38232244870793,52.38232244870795
2023-01-30,60.39514296152847,59.89514296152842,57.89514296152846,52.89514296152847
2023-02-06,55.99084249084253,56.990842490842454,51.99084249084248,44.49084249084245
2023-02-13,56.283882783882824,57.283882783882746,52.283882783882774,44.78388278388274
2023-02-20,58.847985347985386,59.84798534798531,54.84798534798534,47.3479853479853
2023-02-27,57.89560439560443,58.89560439560435,53.89560439560438,46.39560439560435
2023-03-06,59.12454212454213,51.12454212454212,39.12454212454214,45.124542124542096
2023-03-13,60.51648351648352,52.51648351648351,40.51648351648353,46.51648351648349
2023-03-20,65.05860805860807,57.05860805860805,45.05860805860807,51.05860805860804
2023-03-27,66.45054945054946,58.45054945054944,46.45054945054947,52.450549450549424
2023-04-03,52.873626373626415,58.373626373626465,41.873626373626436,36.373626373626436
2023-04-10,51.77472527472532,57.27472527472537,40.77472527472534,35.27472527472534
2023-04-17,55.58424908424912,61.08424908424917,44.58424908424915,39.08424908424915
2023-04-24,57.19597069597073,62.69597069597079,46.195970695970765,40.695970695970765
2023-05-01,50.240388174002646,59.2403881740027,47.74038817400266,33.24038817400273
2023-05-08,51.77884971246418,60.778849712464236,49.27884971246419,34.778849712464265
2023-05-15,54.63599256960705,63.635992569607104,52.13599256960706,37.635992569607126
2023-05-22,54.269692203306676,63.269692203306725,51.76969220330668,37.26969220330676
2023-05-29,54.34295227656675,63.3429522765668,51.842952276566756,37.342952276566834
2023-06-05,54.56593406593407,58.06593406593412,48.065934065934066,32.06593406593411
2023-06-12,59.25457875457876,62.754578754578816,52.75457875457876,36.754578754578795
2023-06-19,56.543956043956044,60.0439560439561,50.04395604395605,34.043956043956086
2023-06-26,58.888278388278394,62.38827838827845,52.388278388278394,36.38827838827843
2023-07-03,59.77335520696974,43.77335520696975,59.77335520696974,36.27335520696974
2023-07-10,61.824637258251784,45.8246372582518,61.82463725825179,38.32463725825179
2023-07-17,63.07005850367303,47.07005850367304,63.07005850367303,39.57005850367303
2023-07-24,60.21291564653018,44.212915646530185,60.21291564653018,36.71291564653018
2023-07-31,59.3337947674093,43.33379476740931,59.3337947674093,35.8337947674093
2023-08-07,53.53113553113565,60.03113553113555,42.531135531135575,47.0311355311356
2023-08-14,54.33699633699645,60.836996336996364,43.33699633699638,47.83699633699641
2023-08-21,57.67032967032978,64.17032967032969,46.670329670329714,51.17032967032974
2023-08-28,56.021978021978136,62.52197802197805,45.02197802197807,49.52197802197809
2023-09-04,57.139194139194174,56.13919413919414,29.139194139194124,49.13919413919415
2023-09-11,61.901098901098926,60.90109890109889,33.901098901098884,53.90109890109891
2023-09-18,60.10622710622713,59.1062271062271,32.10622710622709,52.106227106227124
2023-09-25,58.01831501831505,57.018315018315015,30.018315018315,50.01831501831503
2023-10-02,59.75091575091571,66.25091575091572,38.25091575091572,51.25091575091572
2023-10-09,57.040293040293,63.540293040293015,35.540293040293015,48.540293040293015
2023-10-16,56.45421245421242,62.95421245421243,34.95421245421243,47.95421245421243
2023-10-23,53.15750915750912,59.65750915750914,31.657509157509132,44.65750915750913
2023-10-30,54.8424908424908,61.34249084249082,33.34249084249081,46.34249084249082
2023-11-06,59.246791313176786,72.74679131317676,38.24679131317681,56.746791313176736
2023-11-13,56.97572904211452,70.4757290421145,35.97572904211454,54.47572904211447
2023-11-20,56.42627849266396,69.92627849266393,35.42627849266399,53.92627849266391
2023-11-27,51.92078398716946,65.42078398716943,30.920783987169486,49.420783987169415
2023-12-04,44.86630036630035,56.866300366300315,30.366300366300365,45.86630036630036
2023-12-11,47.35714285714284,59.35714285714281,32.857142857142854,48.357142857142854
2023-12-18,50.14102564102563,62.14102564102559,35.64102564102564,51.14102564102564
2023-12-25,50.580586080586066,62.58058608058603,36.08058608058608,51.58058608058608
2024-01-01,64.2303077966933,60.230307796693296,34.730307796693324,61.73030779669328
2024-01-08,59.761443327828836,55.76144332782883,30.261443327828864,57.26144332782882
2024-01-15,58.22298178936729,54.22298178936729,28.722981789367317,55.722981789367275
2024-01-22,58.7358023021878,54.7358023021878,29.235802302187835,56.235802302187786
2024-01-29,62.69184625823176,58.69184625823176,33.19184625823179,60.19184625823175
2024-02-05,67.84981684981682,67.34981684981682,51.349816849816854,59.84981684981678
2024-02-12,67.30036630036628,66.80036630036628,50.800366300366306,59.300366300366235
2024-02-19,69.57142857142856,69.07142857142856,53.071428571428584,61.57142857142851
2024-02-26,68.17948717948715,67.67948717948715,51.67948717948718,60.17948717948711
2024-03-04,60.8498168498169,70.34981684981682,54.84981684981685,49.34981684981686
2024-03-11,59.714285714285765,69.21428571428568,53.714285714285715,48.21428571428573
2024-03-18,62.42490842490847,71.9249084249084,56.42490842490842,50.924908424908445
2024-03-25,61.10622710622715,70.60622710622707,55.1062271062271,49.606227106227124
2024-04-01,60.91575091575096,59.91575091575103,44.415750915750976,52.915750915750934
2024-04-08,62.67399267399273,61.673992673992785,46.173992673992736,54.673992673992686
2024-04-15,62.600732600732655,61.60073260073271,46.10073260073266,54.60073260073261
2024-04-22,55.53113553113559,54.53113553113565,39.0311355311356,47.531135531135554
2024-04-29,59.81684981684987,58.816849816849924,43.31684981684988,51.81684981684984
2024-05-06,66.80815374176831,59.8081537417683,51.30815374176827,42.308153741768294
2024-05-13,64.94002187363644,57.94002187363644,49.44002187363641,40.44002187363643
2024-05-20,67.9070548406694,60.9070548406694,52.40705484066937,43.407054840669396
