date,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_winter,is_spring,is_summer,is_fall,is_christmas_season,is_easter_season,demand_proxy,day_of_year,temperature_2m_mean,temp_warm,temp_cold,temp_moderate,is_rainy,temperature_2m_mean_lag7,temperature_2m_mean_lag14,temperature_2m_mean_rolling7,sentiment_lag7,sentiment_lag14,sentiment_rolling7,event_count_lag7,event_count_lag14,event_count_rolling7,precipitation_sum,sunshine_duration,event_count,sentiment,pred_random_forest,pred_gradient_boosting,pred_ridge,demand_forecast,forecast_lower,forecast_upper
2026-02-15,6,15,7,2,1,2026,1,1,0,0,0,0,0,57.68291153593769,46,3.1999999999999993,0,1,0,0,-0.10000000000000009,6.732936507936506,2.9952380952380957,0,0,0,0,0,0,0,0,0,0,54.7390648902609,56.08938430615168,55.06282061181785,55.29708993607681,47.00252644566529,63.59165342648833
2026-02-16,0,16,8,2,1,2026,0,1,0,0,0,0,0,47.671351232148716,47,3.966666666666667,0,1,0,0,0.7000000000000001,6.732936507936506,3.4619047619047616,0,0,0,0,0,0,0,0,0,0,45.19654430556024,45.46517448564239,45.533537938817,45.39841891000654,38.58865607350556,52.20818174650752
2026-02-17,1,17,8,2,1,2026,0,1,0,0,0,0,0,51.20981135783017,48,3.3000000000000007,0,1,0,0,3.533333333333333,6.732936507936506,3.4285714285714284,0,0,0,0,0,0,0,0,0,0,44.79611597751418,45.30717738808849,45.123777279349625,45.07569021498409,38.314336682736474,51.837043747231704
2026-02-18,2,18,8,2,1,2026,0,1,0,0,0,0,0,40.43359877671101,49,1.6666666666666667,0,1,0,0,4.1000000000000005,6.732936507936506,3.080952380952381,0,0,0,0,0,0,0,0,0,0,42.273628623159965,42.68760314156843,44.53758021900047,43.166270661242955,36.69133006205651,49.641211260429394
2026-02-19,3,19,8,2,1,2026,0,1,0,0,0,0,0,41.375410837434835,50,1.7999999999999998,0,1,0,0,3.533333333333333,2.1666666666666665,2.8333333333333335,0,0,0,0,0,0,0,0,0,0,41.78575935985601,41.57276594894203,44.33060748734857,42.5630442653822,36.17858762557487,48.94750090518953
2026-02-20,4,20,8,2,1,2026,0,1,0,0,0,0,0,47.188562353795135,51,3.6,0,1,0,0,3.033333333333333,3.133333333333333,2.914285714285714,0,0,0,0,0,0,0,0,0,0,43.93160659341982,44.37496516378344,44.76957326923788,44.358715008813725,37.70490775749167,51.01252226013578
2026-02-21,5,21,8,2,1,2026,1,1,0,0,0,0,0,54.93584439832788,52,6.233333333333333,0,0,1,0,2.866666666666667,0.8000000000000002,3.395238095238095,0,0,0,0,0,0,0,0,0,0,54.61066052177628,53.8790875096343,56.72466729188625,55.071471774432275,46.81075100826743,63.33219254059711
2026-02-22,6,22,8,2,1,2026,1,1,0,0,0,0,0,61.57123666297637,53,6.766666666666667,0,0,1,0,3.1999999999999993,-0.10000000000000009,3.9047619047619047,0,0,0,0,0,0,0,0,0,0,54.72054441834396,55.482064793324156,56.733803531782186,55.64547091448344,47.29865027731092,63.99229155165595
2026-02-23,0,23,9,2,1,2026,0,1,0,0,0,0,0,45.45987962239394,54,6.8999999999999995,0,0,1,0,3.966666666666667,0.7000000000000001,4.3238095238095235,0,0,0,0,0,0,0,0,0,0,44.2164624044401,45.257107033164395,47.05885800463855,45.51080914741434,38.68418777530219,52.33743051952649
2026-02-24,1,24,9,2,1,2026,0,1,0,0,0,0,0,42.93848149332354,55,4.8,0,1,0,0,3.3000000000000007,3.533333333333333,4.538095238095238,0,0,0,0,0,0,0,0,0,0,44.49703173997069,44.69640952806814,45.72460433044248,44.972681866160436,38.22677958623637,51.718584146084496
